data/top_proverbs,results/top_proverbs_modified_criteria_0_2,results/top_proverbs_modified_criteria_1_2
"Two wrongs don't make a right.
","two inviting don't make a invite.
","two bites don't make a bite.
"
"The pen is mightier than the sword.
","the wards is mightier than the ward.
","the pact is mightier than the accord.
"
"When in Rome, do as the Romans.
","when in dome, do as the  .
","when in dome, do as the  .
"
"The squeaky wheel gets the grease.
","the squeaky leases gets the lease.
","the squeaky ceasing gets the cease.
"
"When the going gets tough, the tough get going.
","when the going sweats tough, the tough sweat going.
","when the going cassettes tough, the tough cassette going.
"
"No man is an island.
","no van is an  .
","no ban is an  .
"
"Fortune favors the bold.
","    the bold.
","    the bold.
"
"People who live in glass houses should not throw stones.
","  who live in middle-class houses should not throw stones.
","arco_bass who live in bass houses should not throw stones.
"
"Hope for the best, but prepare for the worst.
","pope for the best, but prepare for the worst.
","cope for the best, but prepare for the worst.
"
"Better late than never.
","better late than never.
","better late than never.
"
"Birds of a feather flock together.
","suede of a leather flock together.
","suede of a leather flock together.
"
"Keep your friends close and your enemies closer.
","keep your   close and your   closer.
","keep your   close and your   closer.
"
"A picture is worth a thousand words.
","a   is worth a thousand  .
","a   is worth a thousand  .
"
"There's no such thing as a free lunch.
","there's no such punches as a free punch.
","there's no such bunches as a free bunch.
"
"There's no place like home.
","there's no case like  .
","there's no domes like dome.
"
"Discretion is the greater part of valor.
","started is the greater start of valor.
","carts is the greater cart of valor.
"
"The early bird catches the worm.
","the early confirmed catches the confirm.
","the early confirmed catches the confirm.
"
"Never look a gift horse in the mouth.
","never look a endorses endorse in the mouth.
","never look a courses course in the mouth.
"
"You can't make an omelet without breaking a few eggs.
","you can't make an omelet without breaking a few  .
","you can't make an omelet without breaking a few  .
"
"God helps those who help themselves.
","squad helps those who help themselves.
","facade helps those who help themselves.
"
"You can't always get what you want.
","you can't always get what you want.
","you can't always get what you want.
"
"Cleanliness is next to godliness.
","cleanliness is next to godliness.
","cleanliness is next to godliness.
"
"A watched pot never boils.
","a watched knot never boils.
","a watched dot never boils.
"
"Beggars can't be choosers.
","beggars can't be choosers.
","beggars can't be choosers.
"
"Actions speak louder than words.
","  speak louder than  .
","  speak louder than  .
"
"If it ain't broke, don't fix it.
","if it ain't broke, don't fix it.
","if it ain't broke, don't fix it.
"
"Practice makes perfect.
","ideal makes object.
","connects makes connect.
"
"Too many cooks spoil the broth.
","too many muslin_cloth spoil the cloth.
","too many   spoil the  .
"
"Easy come, easy go.
","easy from, easy go.
","easy drum, easy go.
"
"Don't bite the hand that feeds you.
","don't bite the understand that feeds you.
","don't bite the band that feeds you.
"
"All good things must come to an end.
","all good acquaintance must come to an friend.
","all good defending must come to an defend.
"
"If you can't beat 'em, join 'em.
","if you can't beat 'em, join 'em.
","if you can't beat 'em, join 'em.
"
"One man's trash is another man's treasure.
","one garbage's smash is another garbage's treasure.
","one garbage's ash is another garbage's treasure.
"
"There's no time like the present.
","there's no part-time like the present.
","there's no climb like the present.
"
"Beauty is in the eye of the beholder.
","applied is in the apply of the beholder.
","sell is in the buy of the beholder.
"
"Necessity is the mother of invention.
","son is the brother of invention.
","son is the brother of invention.
"
"A penny saved is a penny earned.
","a   saved is a   earned.
","a   saved is a   earned.
"
"Familiarity breeds contempt.
","solidarity   contempt.
","clarity   contempt.
"
"You can't judge a book by its cover.
","you can't judge a unearth by its uncover.
","you can't judge a cook by its  .
"
"Good things come to those who wait.
","good things come to those who wait.
","good things come to those who wait.
"
"Don't put all your eggs in one basket.
","don't put all your   in one  .
","don't put all your   in one  .
"
"Two heads are better than one.
","two heads are better than one.
","two heads are better than one.
"
"The grass is always greener on the other side of the hill.
","the fizzed_narrowly is always greener on the other wide of the hill.
","the Alongalongside is always greener on the other alongside of the hill.
"
"Do unto others as you would have them do unto you.
","do unto others as you would have them do unto you.
","do unto others as you would have them do unto you.
"
"A chain is only as strong as its weakest link.
","a bblinking is only as strong as its weakest blink.
","a bblinking is only as strong as its weakest blink.
"
"Honesty is the best policy.
","honesty is the best policy.
","honesty is the best policy.
"
"Absence makes the heart grow fonder.
","begin makes the start grow fonder.
","carts makes the cart grow fonder.
"
"You can lead a horse to water, but you can't make him drink.
","you can lead a mother to daughter, but you can't make him drink.
","you can lead a mother to daughter, but you can't make him drink.
"
"Don't count your chickens before they hatch.
","don't count your chickens before they hatch.
","don't count your chickens before they hatch.
"
"If you want something done right, you have to do it yourself.
","if you want something done right, you have to do it yourself.
","if you want something done right, you have to do it yourself.
"
